Plot,Spcode,Latin,Quadrat,gx,gy,TreeID,Tag,StemID,Census,DBH,HOM,Date,Codes,Stem,Status
SCBI,acne,Acer negundo,101,7.2,6,1005,10005,1,1,14.1,1.3,10/21/2008,,main,alive
SCBI,acne,Acer negundo,104,3.5,73.5,1069,10078,1,1,11.1,1.3,10/21/2008,,main,alive
SCBI,acne,Acer negundo,105,1.1,95.9,1229,10263,1,1,33.8,1.3,10/21/2008,M,main,alive
SCBI,acne,Acer negundo,105,1.1,95.9,1229,10263,2,1,24.7,1.3,10/21/2008,S,secondary,alive
SCBI,acne,Acer negundo,105,1.1,95.9,1229,10263,3,1,20.5,1.3,10/21/2008,S,secondary,alive
SCBI,acne,Acer negundo,105,1.1,95.9,1229,10263,4,1,16.7,1.3,10/21/2008,S,secondary,alive
SCBI,acne,Acer negundo,105,2,96.8,1230,10264,1,1,14.2,1.3,10/21/2008,,main,alive
SCBI,acne,Acer negundo,105,2,95.1,1295,10337,1,1,10.9,1.3,10/21/2008,M,main,alive
SCBI,acne,Acer negundo,105,2,95.1,1295,10337,2,1,10.4,1.3,10/21/2008,S,secondary,alive
SCBI,acne,Acer negundo,106,7.1,108.8,1362,10404,1,1,11.1,1.3,10/21/2008,,main,alive
SCBI,acne,Acer negundo,106,0.7,114.6,1376,10420,1,1,10.6,1.3,10/21/2008,,main,alive
SCBI,acne,Acer negundo,106,1,110.7,1463,10515,1,1,11.3,1.3,10/21/2008,D,main,dead
SCBI,acne,Acer negundo,205,30,89.3,2600,20368,1,1,18.1,1.3,10/23/2008,,main,alive
SCBI,acne,Acer negundo,205,27.1,97.5,2695,20473,1,1,14.1,1.3,10/23/2008,,main,alive
SCBI,acne,Acer negundo,205,22.8,96,66,20478,1,1,22.9,1.3,10/23/2008,M,main,alive
SCBI,acne,Acer negundo,205,22.8,96,66,20478,2,1,21.9,1.3,10/23/2008,S,secondary,alive
SCBI,acne,Acer negundo,206,23.7,103.5,2725,20507,1,1,10.6,1.3,10/24/2008,,main,alive
SCBI,acne,Acer negundo,402,63,24.5,4848,40093,1,1,214.2,1.3,10/30/2008,"I,L",main,alive
SCBI,acne,Acer negundo,404,66.5,65.8,4936,40459,1,1,13.5,1.3,10/27/2008,,main,alive
SCBI,acne,Acer negundo,802,144,29.2,9223,80133,1,1,12.5,1.2,10/31/2008,A,main,alive
SCBI,acne,Acer negundo,1102,207.6,38.2,13806,110383,1,1,33,1.3,11/7/2008,,main,alive
SCBI,acne,Acer negundo,1201,228,16,15295,120096,1,1,45.8,1.3,11/14/2008,,main,alive
SCBI,acne,Acer negundo,1203,225.2,50,15695,120532,1,1,30.9,1.3,11/14/2008,,main,alive
SCBI,acne,Acer negundo,1203,239.5,47.9,15791,120641,1,1,19.9,1.3,11/14/2008,,main,alive
SCBI,acne,Acer negundo,1204,235.9,61,15933,120802,1,1,89,1.3,11/14/2008,M,main,alive
SCBI,acne,Acer negundo,1204,235.9,61,15933,120802,2,1,12.1,1.3,11/14/2008,S,secondary,alive
SCBI,acne,Acer negundo,1204,235.9,61,15933,120802,3,1,12.3,1.3,11/14/2008,S,secondary,alive
SCBI,acne,Acer negundo,1303,243.1,58.1,17420,130446,1,1,49.1,1.3,11/17/2008,,main,alive
SCBI,acne,Acer negundo,1419,270.8,370.1,20141,142184,1,1,128,1.4,10/10/2008,"A,L",main,alive
